DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Premis Desc,Weapon Desc,Status Desc,LOCATION,LAT,LON,Crm Type
211507896,04/11/2021 12:00:00 AM,11/07/2020 12:00:00 AM,845,N Hollywood,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,7800    BEEMAN                       AV,34.2124,-118.4092,THEFT
201516622,10/21/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1845,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,ATOLL                        AV,34.1993,-118.4203,ASSAULT
240913563,12/10/2024 12:00:00 AM,10/30/2020 12:00:00 AM,1240,Van Nuys,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,14600    SYLVAN                       ST,34.1847,-118.4509,THEFT
210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6000    COMEY                        AV,34.0339,-118.3747,VEHICLE
201418201,10/03/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1830,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),ALLEY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4700    LA VILLA MARINA,33.9813,-118.435,VEHICLE
240412063,12/11/2024 12:00:00 AM,11/11/2020 12:00:00 AM,1210,Hollenbeck,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,5300    CRONUS                       ST,34.083,-118.1678,THEFT
240317069,12/16/2024 12:00:00 AM,04/16/2020 12:00:00 AM,1350,Southwest,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,900 W  40TH                         PL,34.01,-118.29,THEFT
201115217,10/29/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1400,Northeast,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),YARD (RESIDENTIAL/BUSINESS),UNKNOWN WEAPON/OTHER WEAPON,Adult Other,3000    ACRESITE                     ST,34.1107,-118.2589,CHILD_CRIME
241708596,04/20/2024 12:00:00 AM,03/02/2020 12:00:00 AM,1200,Devonshire,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,17700    SIMONDS                      ST,34.2763,-118.521,THEFT
242113813,12/18/2024 12:00:00 AM,09/01/2020 12:00:00 AM,900,Topanga,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,20900    MARMORA                      ST,34.1493,-118.5886,THEFT
